ASVID,Domain,Supergroup,Division,Phylum,Subphylum,Superclass,Class,Infraclass,Superorder,Order,Family,Genus,Species
32b98baa6b77bbc27160315339c650ae,Eukaryota,Opisthokonta,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,Oithonidae,Oithona,Oithona_similis
f26485df52a1b9756dec85dbe84cc764,Eukaryota,TSAR,Stramenopiles,Gyrista,Gyrista,Gyrista,Dictyochophyceae,Dictyochophyceae,Dictyochophyceae,Dictyochophyceae_X,Florenciellales,,
e2d2cc611a9e768bb8d2680e1ddbb4ab,Eukaryota,TSAR,Rhizaria,Radiolaria,Radiolaria,Radiolaria,Polycystinea,Polycystinea,Polycystinea,Nassellaria,Lophophaenidae,Lophophaenidae_X,Lophophaenidae_X_sp.
e401b165aa34a990ec26b307fb8a93c5,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Syndiniales,Syndiniales,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.
03c606eadb88d4de3cdc7b3fd90b82b3,Eukaryota,Opisthokonta,Animalia,Cnidaria,Hydrozoa,Trachylinae,,,,,,,
30e7fa14584ff5eb7e1b9fe80ef90087,Eukaryota,Opisthokonta,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,Calanidae,Neocalanus,
c286d048f5b44ef1cf54e217bc6939b6,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Syndiniales,Syndiniales,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.
0c0edc02c65189fd1ff742b42c7d07e7,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Dinophyceae,Dinophyceae,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,Karlodinium_sp.
7552570b4045aff0cefab4c92dc24f96,Eukaryota,TSAR,Stramenopiles,Gyrista,Gyrista,Gyrista,Mediophyceae,Mediophyceae,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,
41ea05b38cb83f1b8e01b3158666a781,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Syndiniales,Syndiniales,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.
baeb69915a8a614f6f2e58f4de29c99c,Eukaryota,Cryptista,Kathablepharidacea,Kathablepharida,Kathablepharida,Kathablepharida,Kathablepharidea,Kathablepharidea,Kathablepharidea,Kathablepharidida,Kathablepharidida_X,Kathablepharidida_XX,Kathablepharidida_XX_sp.
ba1da748047bb39dba8bf7aac7cb1400,Eukaryota,TSAR,Stramenopiles,Gyrista,Gyrista,Gyrista,Pelagophyceae,Pelagophyceae,Pelagophyceae,Pelagomonadales,Pelagomonadales_clade_B,Pelagomonadales_clade_B1,Pelagomonadales_clade_B1_sp.
efae916a85c46c8295b3d0c172a32204,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Dinophyceae,Dinophyceae,Dinophyceae,Torodiniales,Torodiniaceae,Torodinium,
74c8498d80a1a1dae35d9b77c6bdcb01,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Dinophyceae,Dinophyceae,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium_sp.
ad5290c44d51d30c49102f80126c0935,Eukaryota,TSAR,Alveolata,Ciliophora,Ciliophora,Ciliophora,Spirotrichea,Spirotrichea,Spirotrichea,Oligotrichida,Strombidiidae,Strombidiidae_X,Strombidiidae_X_sp.
20fd25608dda9c80c53c2393bff4b780,Eukaryota,TSAR,Rhizaria,Radiolaria,Radiolaria,Radiolaria,RAD-B,RAD-B,RAD-B,RAD-B_X,RAD-B_X_Group-IVe,RAD-B_X_Group-IVe_X,RAD-B_X_Group-IVe_X_sp.
e5d7de6073a68672acdd14de3ab736a7,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Syndiniales,Syndiniales,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,Dino-Group-II-Clade-6_X_sp.
9eabde6aecfd21b1ce61cc9e9ff9a326,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Syndiniales,Syndiniales,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-4,Dino-Group-I-Clade-4_X,Dino-Group-I-Clade-4_X_sp.
a8345ae571d10d99de2e6caf6edc263c,Eukaryota,Opisthokonta,Animalia,Cnidaria,Hydrozoa,Hydroidolina,Siphonophorae,Physonectae,,,,,
0bb6afa975ff310a92848ca7a6e2d87b,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Syndiniales,Syndiniales,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.
6ca9bcadb02e78fa356812793f5940e7,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Dinophyceae,Dinophyceae,Dinophyceae,Gymnodiniales,Chytriodiniaceae,Chytriodinium,Chytriodinium_roseum
7ee2844433b4b80475cfd314a23d110b,Eukaryota,TSAR,Stramenopiles,Gyrista,Gyrista,Gyrista,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,
704617bd30c6df21f779ff5300baf810,Eukaryota,TSAR,Telonemia,Telonemia_X,Telonemia_X,Telonemia_X,Telonemia_XX,Telonemia_XX,Telonemia_XX,Telonemia_XXX,Telonemia-Group-2,Telonemia-Group-2_X,Telonemia-Group-2_X_sp.
33b241dfffd46f912bd78c605e16fd8c,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Dinophyceae,Dinophyceae,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum_sp.
80261955806e3ca88677418b799eecec,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Syndiniales,Syndiniales,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.
5293ceb5032a772065ce667726f6ecf2,Eukaryota,TSAR,Stramenopiles,Gyrista,Gyrista,Gyrista,Mediophyceae,Mediophyceae,Mediophyceae,Probosciales,Probosciaceae,Proboscia,Proboscia_alata
109d07cf7a71b4123b2ee8fe5d5db10c,Eukaryota,TSAR,Stramenopiles,Gyrista,Gyrista,Gyrista,Gyrista_X,Gyrista_X,Gyrista_X,Gyrista_XX,MAST-1,MAST-1B,MAST-1B_sp.
17970dc8c692f030dd81be90aaefd638,Eukaryota,Opisthokonta,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,Ergasilida,Chondracanthidae,
992280493f8201664147ee5a7013a338,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Dinophyceae,Dinophyceae,Dinophyceae,,,,
5d1b36169356af83fd685b91a451960c,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Syndiniales,Syndiniales,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.
05a72970a7f9344c6a76710fc6bf62fe,Eukaryota,TSAR,Rhizaria,Radiolaria,Radiolaria,Radiolaria,Radiolaria_X,Radiolaria_X,Radiolaria_X,Radiolaria_XX,Radiolaria_XXX,Radiolaria_XXXX,Radiolaria_XXXX_sp.
555457e563072bc376968a7ad9d75817,Eukaryota,TSAR,Rhizaria,Radiolaria,Radiolaria,Radiolaria,RAD-B,RAD-B,RAD-B,RAD-B_X,RAD-B_X_Group-IV_X,RAD-B_X_Group-IV_XX,RAD-B_X_Group-IV_XX_sp.
5aeaacb4835e86de247998ffbc34107c,Eukaryota,TSAR,Stramenopiles,Gyrista,Gyrista,Gyrista,Dictyochophyceae,Dictyochophyceae,Dictyochophyceae,Dictyochophyceae_X,Florenciellales,Pseudochattonella,
b5f5eb5d3e4d68b18fdd5c088028e67b,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Syndiniales,Syndiniales,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.
fd9c8703206ef0b3c0fcd3846f26fb50,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Dinophyceae,Dinophyceae,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,
7ef082c4dba6a33c1e4e6cf745e7482e,Eukaryota,TSAR,Alveolata,Dinoflagellata,Dinoflagellata,Dinoflagellata,Syndiniales,Syndiniales,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-20,Dino-Group-II-Clade-20_X,Dino-Group-II-Clade-20_X_sp.
6a5045370c1f23c315dc59e58df2150f,Eukaryota,TSAR,Stramenopiles,Gyrista,Gyrista,Gyrista,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,
