OTUID,Domain,Phylum,Class,Order,Family,Genus,Species
bdf18e8980906003f3978e5ee578c9ea,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,uncultured_marine
b32230f64a8ab7615b0f2f0bb5a532fe,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,
39105f01b1601e09851cd6ca43ec5890,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),
913b56ade3ba323ea4a6deb71d9b745b,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,Clade_II,uncultured_proteobacterium
009257b156ab4a9dd2f0b0dd33100b7e,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),hydrothermal_vent
3c732a7edae66c0e41e06067d0ac801a,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_CC9902,
e14e1f174697358446a161ec87fbf447,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group,
2d43b0eea19572a777bc6e5ec9f0820a,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),uncultured_Candidatus
a50c86afa039074b1d79d35a15f835de,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86_clade,SAR86_clade,hydrothermal_vent
5c4dc4bce2ff4d40935be512580916bc,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,
4c1ec46bcfb4d840c8fc82b53026d477,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,unidentified_archaeon
97d4db3c43714c33690eb3eb92820bad,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05_cluster,
40a53e00613200364f2ba1cfbdae9dba,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,unidentified_archaeon
aa7ca5c8bb9856bf303c966dead80edc,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86_clade,SAR86_clade,
c3386998521ec2ece9bba7ad34efd5f4,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,uncultured_thaumarchaeote
efea1cbffbb862a9df66556d5e08adcc,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,unidentified_archaeon
b9f32166331c95006dcc8caa2e5048de,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,
95c3a36bda79b718ce8c37302080231c,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4_marine_group,Arctic97B-4_marine_group,Arctic97B-4_marine_group,
48a0bf6d8a1890d3404eef1f42a5ccff,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,
6535f44f34ab933cad7265fa384ce933,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Formosa,
0af462855793e68049baacdcadc4e1b1,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_IV,Clade_IV,
e77a1e9caed761e50935a74dea3a1b66,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86_clade,SAR86_clade,uncultured_SAR86
080b42e13f8a1d4010cacbaca813d9b2,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopelagicus,
c4f8ed3dbcdc8cd74e1c590d69c53159,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),
62893615d4a1b87e946608c8cbe7ad39,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,
83d552306410f2455d5e94c2e505da3b,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,HOC36,HOC36,uncultured_bacterium
8cbc1c43e6f8a6c8975cb71ea48e0c5f,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,uncultured_Flavobacteriia
f584ab1f4a468114a0be8b5e0c76cd6c,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,
4a06b1cfaa2fd0c388172d9c57329053,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,
fb128d9058dc360808d9425c893142ae,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopelagicus,uncultured_archaeon
0b1bfe440f3f65f8fb4fc67df90ae491,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,marine_metagenome
4c98812256ffc96bbc6a532d8078a80d,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,Clade_II,
93c203b801413421b085ac9f2d2945d5,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,HOC36,HOC36,Candidatus_Thioglobus
db4b245323ecf07bc08b3c41c8e8eca2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,
5e4ba03402a627f3f60b77b68fdef427,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,
688958852d47c0654c2409ee986a49e9,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86_clade,SAR86_clade,uncultured_bacterium
c1797175f7325ec39a2cd4bd3659691a,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05_cluster,uncultured_marine
72c293c7c3baf553e20ba31a09896ccf,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II,Marine_Group_II,
5cb1250cec910e6819b838249878d53a,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,
28fbba6d40db22c88d3bb48615081901,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),
b403bfff02167e881fa702eb167be0ee,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86_clade,SAR86_clade,uncultured_SAR86
a9266edae1a389b9765e6fd290689264,Bacteria,Proteobacteria,,,,,
55b69328e863ea3254e1ce4ead050e68,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,uncultured_marine
f8ace929dc8b111c1814ab319f1c39fb,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmata,Thermoplasmata,Marine_Group_III,uncultured_marine
f0a7f711fcfda5d2058a0f867991cb2e,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,Pseudohongiella,uncultured_marine
75272d88ed4c8a1c53ccf547ba3e86a8,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,Pseudohongiella,
b5d18893bf9c754c82692371e4c307cc,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II,Marine_Group_II,
d0b5c17f487e0343cd177bd491e25c41,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,
adbac58b93d3d7eead59b429bbf07a50,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),
52d97df581b6fda1aa8bba96d437ff36,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ascidiaceihabitans,
086701f9033187ea7dfa5d6a8d7b6598,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,
b231b0e4912cda5d5cc81a8c39168778,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),uncultured_Candidatus
5623a932ace577bbcad9b0f70414ad2a,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),marine_metagenome
19cb8efe1c753483c2589c74c7822ed9,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05_cluster,
e6ddd1f6ce622c5526a14bc5cdc0a5fd,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,AEGEAN-169_marine_group,uncultured_Alphaproteobacteria
5410ecc02ab6639eb8fe2faaf10b007b,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,uncultured_thaumarchaeote
44e1fde1abc3ab25d9cdaf7eca71bd3d,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,
ffec0d080d61f2b82dde351ab6f0a910,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86_clade,SAR86_clade,uncultured_bacterium
1c2db6bdf83c503d1c7a4f2ff92c2e5c,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,
72a81b7b3804f17689aa27929aa6e0a4,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,
a59a3c27abd44e995846adb8a7ee5752,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,,,
500088ad502db12cf190a0d908640cf1,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_IV,Clade_IV,marine_metagenome
2983438e2b03eb1c22c5b4d99292e6cb,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,SAR116_clade,
bd5a3672765ba5db404dcc362bdde218,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,HOC36,HOC36,
e7e210f45380eb71320e2aaafc027c03,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,
03a55478fafde8d367ca33e4207b4e63,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,
5a28b65f6fbe799e3053d7cf4f2304da,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,
0f2551eb7c43e82c8bd59d9e51a5aadf,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,uncultured_Bacteroidetes/Chlorobi
654dc88cca10f108ccd52768bb724d04,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,
cf2360beb67a6abc58f468d2106d2aa0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,
ba2517d0e3562f961314ae828fbbd55f,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),uncultured_bacterium
ed569e95733f71dba66347c5baaffa37,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,uncultured_marine
c86cfeceb2a706531808d8e4c4a629a7,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,
c3e3af816b90df02a0cc14d91a7fee61,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopelagicus,uncultured_marine
b533f2c67f438d65b892fc91c14491ac,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,
648d6341762e326bc7a7e0a7a841f035,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,OM43_clade,
5512d5833b8090cb8f017b0095b0e102,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,hydrothermal_vent
387b3d2f1154522a7d1e58b5f97eb992,Bacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),
dc7bb9a1b24eb37d57daac63d8a485ce,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,SAR116_clade,uncultured_marine
a58b7c391aa57a3ef881268f88457d70,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter_clade_NAC11-7_lineage,uncultured_Rhodobacteraceae
a0e537d95c95a46d7ee1fe576365aa04,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,HOC36,HOC36,uncultured_bacterium
5e25e3bddb2d844034265134edfb1625,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II,Marine_Group_II,Marine_group
ef0106ca4ba42d99620a64ea009e5881,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,,
ea8b74c1960ce73be42385337835035a,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),hydrothermal_vent
012054e3f62502aff7f455e1592ea87f,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86_clade,SAR86_clade,
6f7a0f156b7b69b71e2d74f657af0711,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),uncultured_Candidatus
bc3feec3617fc35b268e91a29142f8c9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,
86e11979447db480be6d0f783550c690,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,uncultured_marine
1d7b73d8f9cef5adb9e9abd5cc0c22a4,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,
2569fc58a228d0f281874635cc9955e1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,
c06f0bf3c1e8ae5fcbfc0882bb5a41c4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ascidiaceihabitans,
af221dfa5b6c65292b9eaacdbeae6b0e,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,SAR92_clade,
dce1c4c4fd288a57a10814ddc762cf58,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,
ac9f56eb5dbfc3dc6b168fc73fc6c34c,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ascidiaceihabitans,
e58080c0c6e8bd75fb3e7209da37d460,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,
a9cc9a117f689eca3e49ccbb0522bf75,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,
4447e0fe3814d1ed1f36728a9ee11622,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,
bcdb61c897d859cb4a79a74f2bb09683,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,Clade_II,
a196d8a1514a74d3a9545e5063ee781a,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86_clade,SAR86_clade,uncultured_bacterium
49cc3f1b842a04c4fc62ab018166c9aa,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pseudoalteromonadaceae,Pseudoalteromonas,
a59ef1b1d78b2183a8733de89629c574,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,unidentified_archaeon
01147872aeb2899aafc9a673a5d43206,Bacteria,Proteobacteria,Gammaproteobacteria,HgCo23,HgCo23,HgCo23,uncultured_bacterium
e9e40945b6ea0ad3b0b78f3e2b5a8368,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,AEGEAN-169_marine_group,metagenome
ed1a038b390ba70e0f10f9613be85881,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,HOC36,HOC36,Candidatus_Thioglobus
a8d087221dbe7e57f766713a2f2e910e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,AEGEAN-169_marine_group,
d3f904c89fe4ebb73b13e028a5574924,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,
f4cda425efa277fb3ffdf76dcdb9f7d7,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),uncultured_bacterium
d343df328e914f91c6733330b9596839,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,
bbb42dea9e3dd117eeb07d7eb1770031,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,uncultured,uncultured_marine
0c7ce8f4fa3ca3d073fda946d5de13a7,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,Clade_II,
95d05a491a381701081d1893dfb8eedf,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,,,
e8f7b9ade2c2c1d2c2c95374354b3ab1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,
e5ffb61c3432c43cd5f8d5a5117afedb,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),
88e8a2b3337def3b42450433f4ca0985,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,uncultured_marine
776f04c99effa9b3ffa4455e5ac7a646,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86_clade,SAR86_clade,uncultured_bacterium
33b77d6b08ce6ca7546ea5059497dfb2,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,uncultured_marine
0e775fc1584ed21db02c44461c5e120e,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,
2d4787eb95076d34b15a988a0808b688,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II,Marine_Group_II,uncultured_marine
f72c93455d122914da6f9d92cd5cfa53,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),uncultured_bacterium
31d040fe4a7037cebc869e213d46ab32,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,
e7131e7d39007c372bd5d6b4ec59f39d,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,
33abba376a767ae7ac2baf8913cb6f70,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,LS-NOB,
cee889365e1b895f400c06a353ce2ad0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86_clade,SAR86_clade,metagenome
5fc5563d9a4a23c69384f2560b61901b,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353_marine_group,UBA10353_marine_group,UBA10353_marine_group,uncultured_organism
38d92f8860fa59926bf4aa569c97ecee,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,Pseudohongiella,uncultured_bacterium
be58e7b7f2672f6aabb72b6570d621f1,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),hydrothermal_vent
8f07324f5b95436ce2a18d27b9c7cf49,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,
4c6e709953595db055b7e8122680d82f,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,hydrothermal_vent
fd5eeee9dda082827512f461eae9139e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
ae9770365adc90e87dd6fa3b720e3165,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,uncultured_marine
8c7146307628fdf05429ceed76135848,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Ulvibacter,uncultured_marine
ffa8dd0b778d9ea45bb946b6ee931939,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),uncultured_bacterium
e07494a925f964ec5764aab5ee5b0bc9,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05_cluster,
cffbc3b3beece10752e87f98f633eaf9,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marinoscillum,marine_metagenome
7271e32d4bf355780970a1fa3401ddd5,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),unidentified_marine
83e015c74045c8ec54ac9f8aeaaae0a3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,SAR86_clade,SAR86_clade,uncultured_SAR86
31f7fbf41d9fdafc03bcb5e79d3c6792,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,uncultured_marine
76d9df210e7aff4e2818f87c337c3d70,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,uncultured_crenarchaeote
fbd31ccab212002ab4f3e0f0b3ceaba4,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,OM43_clade,
262161030c35e2ebb388c1212e3aa1de,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,
a862e2c850837f9b410999454395c9b7,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),uncultured_bacterium
