Cruise,MM/DD/YYYY HH:MM,Year,Month,Season,Season_abb,Station,Station_Number,Cyanobacteria,Chlorophytes_sp,Prasinophytes,Cryptophytes,Diatoms,Dinoflagellates,Pelagophytes,Haptophytes,Chlorophytes,Tchl_a
2015-09,2015-06-13 21:06,2015,6,Spring,Sp,P20,20,0.0392,0.1521,0.0023,0,0,0,0.0313,0.3835,0.1544,0.6084
2015-10,2015-08-26 22:11,2015,8,Summer,Su,P20,20,0,0.0037,0.012,0.0003,0.012,0.0002,0.0212,0.1772,0.0157,0.2266
2016-01,2016-02-18 17:31,2016,2,Winter,Wi,P20,20,0,0.0518,0.0296,0,0.0002,0.0187,0.0356,0.1816,0.0814,0.3175
2016-06,2016-06-11 22:38,2016,6,Spring,Sp,P20,20,0.0319,0.1227,0.0025,0.0155,0,0.0002,0.0423,0.3746,0.1251,0.5897
2016-08,2016-08-23 17:57,2016,8,Summer,Su,P20,20,0.0025,0.0265,0.0018,0.0008,0.0144,0.0004,0.0221,0.0893,0.0283,0.1576
2017-01,2017-02-10 0:38,2017,2,Winter,Wi,P20,20,0.0012,0.0431,0.014,0,0.0204,0.0166,0.0477,0.2833,0.0571,0.4262
2017-06,2017-06-10 19:18,2017,6,Spring,Sp,P20,20,0.0435,0.0575,0,0,0.0047,0.0031,0.0139,0.0511,0.0575,0.1739
2017-08,2017-08-26 20:21,2017,8,Summer,Su,P20,20,0.0004,0.084,0.001,0,0,0.0238,0.0308,0.17,0.085,0.3101
2018-01,2018-03-02 23:56,2018,2,Winter,Wi,P20,20,0,0.0002,0.0509,0.0203,0.0985,0.0492,0.033,0.1708,0.0511,0.423
2018-26,2018-06-11 21:07,2018,6,Spring,Sp,P20,20,0.0421,0.1216,0.0432,0.021,0.3122,0.0558,0.0349,0.3018,0.1647,0.9326
2018-40,2018-09-18 17:34,2018,8,Summer,Su,P20,20,0.0083,0.0377,0.0096,0.0104,0.0345,0.0141,0.0067,0.1213,0.0473,0.2427
2019-001,,2019,2,Winter,Wi,P20,20,,,,,,,,,,
2019-006,2019-06-08 19:54,2019,6,Spring,Sp,P20,20,0.0047,0.0356,0.0064,0.0074,0.5898,0.0762,0.0205,0.1515,0.042,0.892
2019-008,2019-08-20 19:56,2019,8,Summer,Su,P20,20,0.0192,0.0681,0.0171,0.0029,0.0262,0.0185,0.0107,0.1528,0.0852,0.3156
2020-001,2020-02-14 20:07,2020,2,Winter,Wi,P20,20,0.0056,0.0372,0.0187,0.0091,0.0119,0.0151,0.0254,0.114,0.0559,0.2371
2020-006,,2020,6,Spring,Sp,P20,20,,,,,,,,,,
2020-008,2020-08-18 21:06,2020,8,Summer,Su,P20,20,0.0004,0.0439,0.0175,0.0039,0,0.0075,0.0154,0.2427,0.0614,0.3313
2021-001,2021-02-07 20:16,2021,2,Winter,Wi,P20,20,0.0004,0.028,0.0396,0.0021,0.0633,0.0214,0.0419,0.1923,0.0675,0.389
2021-006,2021-05-08 21:47,2021,6,Spring,Sp,P20,20,0.0315,0.0365,0.0144,0.0016,0.0634,0,0.0405,0.1054,0.0509,0.2933
2021-008,2021-08-30 23:11,2021,8,Summer,Su,P20,20,0.0004,0.0631,0.0152,0.0047,0,0.0537,0.0422,0.2358,0.0783,0.4151
2022-001,2022-03-09 10:04,2022,2,Winter,Wi,P20,20,0.0059,0.0482,0.0316,0.0081,0.0094,0.0143,0.0461,0.2968,0.0798,0.4604
2022-006,,2022,6,Spring,Sp,P20,20,,,,,,,,,,
2022-008,2022-08-17 2:44,2022,8,Summer,Su,P20,20,0.0001,0.0362,0.0004,0.0044,0.0076,0.0802,0.0153,0.1887,0.0366,0.333
2011-01,,2011,2,Winter,Wi,P21,21,,,,,,,,,,
2011-26,2011-06-10 8:21,2011,6,Spring,Sp,P21,21,0.0161,0.0049,0.0071,0.0067,0.0243,0.0001,0.0131,0.1442,0.012,0.2166
2011-27,2011-08-25 2:17,2011,8,Summer,Su,P21,21,0.0028,0.1548,0.0032,0.0024,0,0.01,0.0297,0.1129,0.158,0.3158
2012-01,2012-02-17 1:09,2012,2,Winter,Wi,P21,21,0.0087,0.0279,0.0303,0.0112,0.005,0.0219,0.0604,0.2625,0.0582,0.4278
2012-12,2012-05-31 14:02,2012,6,Spring,Sp,P21,21,0.0356,0.0359,0.0639,0.0048,0.0033,0.0003,0.0355,0.0593,0.0998,0.2387
2012-13,2012-08-23 0:54,2012,8,Summer,Su,P21,21,0,0.0132,0.0138,0,0,0.0326,0.0444,0.1835,0.027,0.2875
2013-01,2013-02-11 8:14,2013,2,Winter,Wi,P21,21,0.0001,0.0567,0.0288,0.0076,0.0307,0.048,0.0666,0.2116,0.0855,0.4501
2013-17,2013-06-14 21:59,2013,6,Spring,Sp,P21,21,0.0257,0.0038,0.0171,0.0014,0.0497,0.0007,0.0328,0.1252,0.0208,0.2564
2013-18,2013-08-29 13:06,2013,8,Summer,Su,P21,21,0,0.0266,0.0125,0.0002,0.0009,0.0859,0.0396,0.1588,0.0391,0.3246
2014-01,2014-02-17 16:07,2014,2,Winter,Wi,P21,21,0.001,0.0503,0.0451,0,0.0426,0.0296,0.0596,0.2295,0.0954,0.4578
2014-18,2014-06-15 20:02,2014,6,Spring,Sp,P21,21,0.0109,0.1813,0.0258,0.0052,0.0037,0.0001,0.0884,0.3539,0.207,0.6693
2014-19,2014-08-27 1:24,2014,8,Summer,Su,P21,21,0.0137,0.0011,0.0033,0,0.0289,0,0.0141,0.1405,0.0043,0.2014
2015-01,2015-02-17 6:10,2015,2,Winter,Wi,P21,21,0.0147,0.0719,0.0321,0.0029,0.0017,0.0002,0.0325,0.2373,0.104,0.3934
2015-09,2015-06-14 9:05,2015,6,Spring,Sp,P21,21,0.0155,0.1904,0.0048,0.0082,0,0,0.0142,0.1792,0.1952,0.4123
2015-10,2015-08-30 5:49,2015,8,Summer,Su,P21,21,0,0.0006,0.0109,0,0.0818,0.0296,0.0471,0.2031,0.0115,0.373
2016-01,2016-02-14 21:03,2016,2,Winter,Wi,P21,21,0.001,0.0004,0.0335,0.0001,0,0.0224,0.0503,0.243,0.0339,0.3507
2016-06,2016-06-12 4:34,2016,6,Spring,Sp,P21,21,0.0218,0.0842,0.0156,0.0242,0.0016,0.0166,0.0465,0.4676,0.0998,0.678
2016-08,2016-08-24 14:18,2016,8,Summer,Su,P21,21,0.0041,0.0261,0.0026,0.0002,0.0007,0.0001,0.0112,0.0803,0.0287,0.1254
2017-01,2017-02-10 7:01,2017,2,Winter,Wi,P21,21,0.0007,0.0417,0.0125,0,0.0155,0.0282,0.041,0.2727,0.0542,0.4122
2017-06,2017-06-11 0:40,2017,6,Spring,Sp,P21,21,0.0185,0.0499,0,0.0001,0,0.0001,0.0115,0.0894,0.0499,0.1693
2017-08,2017-08-26 13:02,2017,8,Summer,Su,P21,21,0,0.0733,0.002,0.0001,0.0011,0.0287,0.0252,0.1397,0.0753,0.2701
2018-01,,2018,2,Winter,Wi,P21,21,,,,,,,,,,
2018-26,2018-06-12 8:40,2018,6,Spring,Sp,P21,21,0.0093,0.0158,0.0083,0,0.4147,0.0272,0.0741,0.2087,0.0241,0.758
2018-40,2018-09-18 22:45,2018,8,Summer,Su,P21,21,0.0029,0.0504,0.0139,0.0155,0,0.0426,0.0005,0.1737,0.0644,0.2996
2019-001,2019-02-10 13:10,2019,2,Winter,Wi,P21,21,0.0024,0.0192,0.0137,0.003,0.0273,0.021,0.0209,0.1422,0.0329,0.2497
2019-006,2019-06-09 5:28,2019,6,Spring,Sp,P21,21,0.0054,0.023,0.0045,0.0098,0.5628,0.1018,0.0184,0.1077,0.0275,0.8332
2019-008,2019-08-21 2:54,2019,8,Summer,Su,P21,21,0.0044,0.0389,0.0169,0,0.0332,0.0281,0.0178,0.1847,0.0558,0.3239
2020-001,2020-02-15 2:54,2020,2,Winter,Wi,P21,21,0.0055,0.0287,0.0298,0.0114,0.0204,0.0202,0.0375,0.1363,0.0585,0.2898
2020-006,,2020,6,Spring,Sp,P21,21,,,,,,,,,,
2020-008,2020-08-19 1:55,2020,8,Summer,Su,P21,21,0.0011,0.0427,0.0113,0.0051,0.0249,0.0321,0.0136,0.1764,0.054,0.3071
2021-001,2021-02-08 5:14,2021,2,Winter,Wi,P21,21,0.0021,0.0229,0.0455,0.0078,0.0767,0.0213,0.0445,0.2412,0.0684,0.4621
2021-006,2021-05-09 14:56,2021,6,Spring,Sp,P21,21,0.0247,0.0462,0.0169,0.002,0.0446,0,0.0342,0.1035,0.0631,0.2721
2021-008,2021-08-31 4:18,2021,8,Summer,Su,P21,21,0,0.0479,0.0151,0.0057,0,0.0359,0.0405,0.1491,0.0631,0.2943
2022-001,2022-03-09 15:07,2022,2,Winter,Wi,P21,21,0.0046,0.047,0.026,0.011,0.02,0.018,0.062,0.28,0.073,0.469
2022-006,,2022,6,Spring,Sp,P21,21,,,,,,,,,,
2022-008,2022-08-17 23:23,2022,8,Summer,Su,P21,21,0.0006,0.0512,0.001,0.003,0,0.0606,0.0286,0.1905,0.0522,0.3355
2011-01,,2011,2,Winter,Wi,P22,22,,,,,,,,,,
2011-26,2011-06-10 13:16,2011,6,Spring,Sp,P22,22,0.0131,0.0031,0.0099,0.0002,0.0019,0.0001,0.0108,0.1036,0.013,0.1426
2011-27,2011-08-25 7:14,2011,8,Summer,Su,P22,22,0,0.0453,0.0063,0,0,0.0141,0.026,0.1365,0.0516,0.2282
2012-01,2012-02-16 21:04,2012,2,Winter,Wi,P22,22,0.003,0.0286,0.0186,0.0122,0.0324,0.0177,0.0633,0.2206,0.0472,0.3962
2012-12,2012-05-31 20:01,2012,6,Spring,Sp,P22,22,0.0322,0.0284,0.0684,0.0013,0.0201,0.0008,0.0337,0.0659,0.0968,0.2508
2012-13,2012-08-23 7:41,2012,8,Summer,Su,P22,22,0,0.0156,0.0167,0,0,0.038,0.0399,0.1783,0.0324,0.2886
2013-01,2013-02-11 14:06,2013,2,Winter,Wi,P22,22,0.0001,0.0499,0.029,0.0121,0.0502,0.0451,0.0797,0.2669,0.0789,0.5329
2013-17,2013-06-15 4:03,2013,6,Spring,Sp,P22,22,0.0381,0.0032,0.0127,0.0007,0.0256,0.0004,0.0323,0.1004,0.0159,0.2134
2013-18,2013-08-29 18:44,2013,8,Summer,Su,P22,22,0.0059,0.0535,0.0083,0.0102,0,0.1018,0.0534,0.1804,0.0619,0.4134
2014-01,2014-02-20 20:21,2014,2,Winter,Wi,P22,22,0.0072,0.054,0.037,0,0.0458,0.0203,0.0589,0.2294,0.091,0.4525
2014-18,2014-06-16 1:47,2014,6,Spring,Sp,P22,22,0.0656,0.0443,0.0498,0.0029,0.0565,0.0003,0.0274,0.1707,0.0941,0.4176
2014-19,2014-08-27 7:03,2014,8,Summer,Su,P22,22,0.002,0.0314,0.0378,0,0,0.1005,0.0538,0.2589,0.0692,0.4844
2015-01,2015-02-17 10:55,2015,2,Winter,Wi,P22,22,0.0058,0.0828,0.0101,0,0.0163,0.0226,0.0332,0.2323,0.093,0.4032
2015-09,2015-06-14 15:23,2015,6,Spring,Sp,P22,22,0.0293,0.2698,0.0035,0.009,0,0,0.0188,0.2448,0.2733,0.5752
2015-10,2015-08-30 1:25,2015,8,Summer,Su,P22,22,0.0001,0.0417,0.0319,0,0.0851,0.0248,0.0702,0.2968,0.0736,0.5507
2016-01,2016-02-15 3:13,2016,2,Winter,Wi,P22,22,0.0048,0.0061,0.0335,0.0002,0.0001,0.0154,0.0517,0.2627,0.0396,0.3747
2016-06,2016-06-12 13:42,2016,6,Spring,Sp,P22,22,0.0275,0.1091,0.0063,0.0048,0.0006,0.0002,0.0526,0.3674,0.1154,0.5686
2016-08,2016-08-24 19:51,2016,8,Summer,Su,P22,22,0.0039,0.0294,0.0001,0,0,0.0079,0.0125,0.0916,0.0295,0.1453
2017-01,2017-02-10 14:05,2017,2,Winter,Wi,P22,22,0,0.0428,0.0042,0,0.0069,0.0058,0.035,0.26,0.047,0.3549
2017-06,2017-06-11 6:35,2017,6,Spring,Sp,P22,22,0.017,0.0815,0.0013,0.0002,0.0158,0.0001,0.0182,0.0792,0.0828,0.2133
2017-08,2017-08-23 13:52,2017,8,Summer,Su,P22,22,0,0.0522,0.0006,0.0002,0.0225,0.0169,0.0115,0.0749,0.0528,0.1788
2018-01,2018-02-28 0:47,2018,2,Winter,Wi,P22,22,0.0033,0.0526,0.0373,0,0.1302,0.0637,0.0752,0.2934,0.09,0.6559
2018-26,2018-06-12 13:26,2018,6,Spring,Sp,P22,22,0.0122,0.04,0.0167,0.0009,0.1327,0.0389,0.0134,0.2173,0.0567,0.4722
2018-40,2018-09-19 4:44,2018,8,Summer,Su,P22,22,0.008,0.0634,0.0142,0.0169,0.0205,0.0286,0.0059,0.1201,0.0777,0.2776
2019-001,2019-02-10 18:36,2019,2,Winter,Wi,P22,22,0.0064,0.0373,0.0136,0.0052,0.0336,0.0231,0.0261,0.1799,0.0509,0.3252
2019-006,2019-06-09 11:25,2019,6,Spring,Sp,P22,22,0.002,0.0043,0.0011,0.005,0.8925,0.0912,0.0344,0.1092,0.0054,1.1398
2019-008,2019-08-21 9:07,2019,8,Summer,Su,P22,22,0.0119,0.0689,0.0246,0.0053,0.099,0.0261,0.0156,0.1383,0.0935,0.3896
2020-001,2020-02-15 8:35,2020,2,Winter,Wi,P22,22,0.0029,0.0203,0.0257,0.0075,0.0308,0.0216,0.0323,0.1235,0.0461,0.2647
2020-006,,2020,6,Spring,Sp,P22,22,,,,,,,,,,
2020-008,2020-08-19 7:24,2020,8,Summer,Su,P22,22,0.0001,0.0299,0.0222,0.0056,0.0033,0.0454,0.0181,0.1813,0.0521,0.3058
2021-001,2021-02-08 10:06,2021,2,Winter,Wi,P22,22,0.0067,0.0171,0.0625,0.0124,0.0306,0.0056,0.0406,0.2038,0.0796,0.3794
2021-006,2021-05-09 14:56,2021,6,Spring,Sp,P22,22,0.0287,0.047,0.0113,0.0025,0.0488,0,0.0401,0.1134,0.0583,0.2919
2021-008,2021-08-31 9:47,2021,8,Summer,Su,P22,22,0,0.0614,0.0171,0.007,0,0.045,0.0442,0.1803,0.0786,0.355
2022-001,2022-03-09 19:54,2022,2,Winter,Wi,P22,22,0.0102,0.046,0.014,0.009,0.012,0.022,0.06,0.307,0.0595,0.479
2022-006,,2022,6,Spring,Sp,P22,22,,,,,,,,,,
2022-008,2022-08-18 4:33,2022,8,Summer,Su,P22,22,0,0.0708,0.001,0.0056,0.0012,0.0553,0.0313,0.1574,0.0718,0.3227
2011-01,,2011,2,Winter,Wi,P24,24,,,,,,,,,,
2011-26,2011-06-10 23:03,2011,6,Spring,Sp,P24,24,0.0393,0.0931,0.0219,0,0.0008,0,0.0123,0.0754,0.1149,0.2427
2011-27,2011-08-25 19:11,2011,8,Summer,Su,P24,24,0.0003,0.102,0.0119,0,0,0.0204,0.0193,0.1844,0.1139,0.3383
2012-01,2012-02-14 19:07,2012,2,Winter,Wi,P24,24,0.0094,0.0201,0.0359,0.0107,0.0193,0.0258,0.068,0.2169,0.0561,0.4061
2012-12,2012-06-01 8:02,2012,6,Spring,Sp,P24,24,0.044,0.0265,0.0492,0.0001,0.009,0.0001,0.0342,0.09,0.0757,0.2531
2012-13,2012-08-23 19:32,2012,8,Summer,Su,P24,24,0.0011,0.0264,0.027,0.0022,0.0019,0.0247,0.0375,0.2131,0.0534,0.3339
2013-01,2013-02-14 0:05,2013,2,Winter,Wi,P24,24,0,0.0291,0.045,0.0126,0.0266,0.0487,0.0789,0.2548,0.0741,0.4956
2013-17,2013-06-15 16:41,2013,6,Spring,Sp,P24,24,0.0196,0.0017,0.0126,0.0004,0.0003,0.0002,0.0226,0.125,0.0144,0.1825
2013-18,2013-08-30 6:33,2013,8,Summer,Su,P24,24,0,0.0094,0.0253,0.0009,0.0005,0.0727,0.0468,0.2129,0.0347,0.3685
2014-01,,2014,2,Winter,Wi,P24,24,,,,,,,,,,
2014-18,2014-06-16 14:03,2014,6,Spring,Sp,P24,24,0.04,0.1056,0.0491,0.0196,0.0225,0,0.0214,0.2185,0.1547,0.4766
2014-19,2014-08-27 18:40,2014,8,Summer,Su,P24,24,0.0027,0.0276,0.0316,0,0.0108,0.1682,0.0996,0.6261,0.0592,0.9666
2015-01,2015-02-17 20:38,2015,2,Winter,Wi,P24,24,0.007,0.0887,0.0055,0,0.0612,0.0238,0.0305,0.1974,0.0942,0.414
2015-09,2015-06-15 3:11,2015,6,Spring,Sp,P24,24,0.0349,0.1614,0.0042,0.0104,0,0,0.0219,0.3378,0.1656,0.5707
2015-10,2015-08-27 17:13,2015,8,Summer,Su,P24,24,0,0.0034,0.0171,0,0.0019,0.0552,0.0351,0.2317,0.0206,0.3445
2016-01,2016-02-15 15:11,2016,2,Winter,Wi,P24,24,0.0011,0.0097,0.0297,0.0001,0.0058,0.0348,0.0796,0.296,0.0394,0.4568
2016-06,2016-06-13 3:18,2016,6,Spring,Sp,P24,24,0.0538,0.0963,0.003,0.0003,0.0056,0.0001,0.0445,0.2789,0.0993,0.4825
2016-08,2016-08-25 7:16,2016,8,Summer,Su,P24,24,0.0022,0.0272,0.0023,0,0.0003,0.0065,0.0126,0.0998,0.0295,0.1509
2017-01,2017-02-11 3:33,2017,2,Winter,Wi,P24,24,0,0.022,0.0183,0.0001,0.0016,0.0001,0.0366,0.257,0.0402,0.3355
2017-06,2017-06-11 18:34,2017,6,Spring,Sp,P24,24,0.0321,0.0662,0,0,0.0038,0,0.0158,0.0713,0.0662,0.1893
2017-08,2017-08-24 3:59,2017,8,Summer,Su,P24,24,0.0012,0.1119,0.0019,0,0.2455,0.0779,0.034,0.2882,0.1138,0.7607
2018-01,2018-02-27 13:54,2018,2,Winter,Wi,P24,24,0.0056,0.0289,0.0171,0,0.0947,0.0658,0.0791,0.2406,0.046,0.5317
2018-26,2018-06-13 0:43,2018,6,Spring,Sp,P24,24,0.0369,0.0016,0,0.0016,0.1487,0.029,0.0341,0.0306,0.0016,0.2826
2018-40,2018-09-19 17:15,2018,8,Summer,Su,P24,24,0,0.0392,0.0159,0.0206,0.0003,0.0489,0.0443,0.2078,0.0551,0.3769
2019-001,2019-02-13 7:25,2019,2,Winter,Wi,P24,24,0.0081,0.0345,0.0187,0.0084,0.0234,0.0212,0.032,0.2482,0.0532,0.3945
2019-006,2019-06-09 23:27,2019,6,Spring,Sp,P24,24,0.0122,0.166,0.0211,0.0059,0,0.0147,0.036,0.285,0.1871,0.541
2019-008,2019-08-22 2:05,2019,8,Summer,Su,P24,24,0,0.0293,0.0272,0.0016,0.3691,0.0146,0.0169,0.2959,0.0565,0.7547
2020-001,2020-02-15 21:31,2020,2,Winter,Wi,P24,24,0.0034,0.0322,0.0117,0.009,0.0366,0.0163,0.0306,0.1276,0.044,0.2675
2020-006,,2020,6,Spring,Sp,P24,24,,,,,,,,,,
2020-008,2020-08-19 19:43,2020,8,Summer,Su,P24,24,0.0105,0.0339,0.0206,0.0132,0.0262,0.0666,0.0189,0.1765,0.0545,0.3664
2021-001,2021-02-08 20:39,2021,2,Winter,Wi,P24,24,0.0014,0.0246,0.0476,0.0073,0.0709,0.0207,0.0406,0.17,0.0723,0.3831
2021-006,2021-05-10 2:24,2021,6,Spring,Sp,P24,24,0.001,0.0014,0.0009,0.0016,0.0638,0.0002,0.0402,0.1536,0.0023,0.2628
2021-008,2021-09-01 3:33,2021,8,Summer,Su,P24,24,0.0003,0.063,0.018,0.008,0.054,0.072,0.04,0.236,0.0807,0.491
2022-001,2022-03-10 5:36,2022,2,Winter,Wi,P24,24,0.0035,0.028,0.02,0.012,0.024,0.032,0.046,0.263,0.048,0.428
2022-006,,2022,6,Spring,Sp,P24,24,,,,,,,,,,
2022-008,2022-08-18 17:19,2022,8,Summer,Su,P24,24,0.001,0.0687,0,0.0044,0.0104,0.0469,0.0252,0.1762,0.0687,0.3328
2011-01,,2011,2,Winter,Wi,P25,25,,,,,,,,,,
2011-26,2011-06-11 4:01,2011,6,Spring,Sp,P25,25,0.0217,0.0119,0.0128,0.0007,0.0198,0.0003,0.0178,0.1191,0.0247,0.2041
2011-27,2011-08-26 0:46,2011,8,Summer,Su,P25,25,0,0.0966,0.0112,0.0034,0,0.028,0.069,0.268,0.1078,0.4763
2012-01,2012-02-15 0:58,2012,2,Winter,Wi,P25,25,0.0048,0.0089,0.0351,0.0052,0.0271,0.0143,0.0588,0.1873,0.044,0.3415
2012-12,2012-06-01 13:09,2012,6,Spring,Sp,P25,25,0.0428,0.0253,0.0377,0.0005,0.036,0.0003,0.036,0.1226,0.063,0.3012
2012-13,2012-08-24 1:54,2012,8,Summer,Su,P25,25,0,0.0374,0.0411,0.0002,0.0003,0.0517,0.0422,0.1997,0.0784,0.3725
2013-01,2013-02-13 18:57,2013,2,Winter,Wi,P25,25,0.0004,0.01,0.0575,0.0183,0.0129,0.0312,0.06,0.2015,0.0675,0.3917
2013-17,2013-06-15 22:56,2013,6,Spring,Sp,P25,25,0.0158,0.0029,0.0151,0.0009,0.001,0.0004,0.0213,0.1443,0.018,0.2017
2013-18,2013-08-30 12:03,2013,8,Summer,Su,P25,25,0.0118,0.0151,0.0182,0.0075,0.0012,0.0589,0.0517,0.153,0.0333,0.3174
2014-01,,2014,2,Winter,Wi,P25,25,,,,,,,,,,
2014-18,2014-06-16 21:20,2014,6,Spring,Sp,P25,25,0.1155,0.0326,0.0531,0,0,0,0.0136,0.1315,0.0856,0.3461
2014-19,2014-08-28 0:20,2014,8,Summer,Su,P25,25,0.0003,0.0272,0.033,0,0.0255,0.0986,0.0529,0.3918,0.0602,0.6294
2015-01,2015-02-18 1:55,2015,2,Winter,Wi,P25,25,0.0083,0.112,0.0038,0.0009,0.0756,0.031,0.0439,0.1967,0.1158,0.4722
2015-09,2015-06-15 8:39,2015,6,Spring,Sp,P25,25,0.0302,0.2115,0.008,0.001,0,0.0073,0.0235,0.3508,0.2195,0.6322
2015-10,2015-08-27 22:57,2015,8,Summer,Su,P25,25,0,0.0058,0.0172,0.0003,0.0148,0.0318,0.0223,0.1387,0.023,0.2308
2016-01,2016-02-17 3:08,2016,2,Winter,Wi,P25,25,0.0029,0.0187,0.0349,0.0002,0.0313,0.0384,0.0817,0.3355,0.0536,0.5436
2016-06,2016-06-13 10:37,2016,6,Spring,Sp,P25,25,0.0484,0.1185,0.0054,0.0001,0,0,0.039,0.2024,0.124,0.4138
2016-08,2016-08-25 12:22,2016,8,Summer,Su,P25,25,0,0.0187,0,0,0.0007,0.0283,0.0191,0.0898,0.0187,0.1567
2017-01,2017-02-11 9:36,2017,2,Winter,Wi,P25,25,0.0047,0.0172,0.0175,0.001,0.0092,0.0003,0.0408,0.1768,0.0347,0.2676
2017-06,2017-06-12 1:07,2017,6,Spring,Sp,P25,25,0.0256,0.0695,0.0071,0.0003,0.0012,0.0002,0.0154,0.0845,0.0766,0.2038
2017-08,2017-08-24 10:53,2017,8,Summer,Su,P25,25,0.0002,0.1299,0.0027,0,0.27,0.0785,0.0286,0.2995,0.1326,0.8094
2018-01,2018-02-27 9:21,2018,2,Winter,Wi,P25,25,0.0043,0.0114,0.0275,0.001,0.0608,0.0275,0.0861,0.3186,0.0389,0.5371
2018-26,2018-06-13 6:53,2018,6,Spring,Sp,P25,25,0.0404,0.0009,0,0.0017,0.155,0.0162,0.0398,0.0888,0.0009,0.3429
2018-40,2018-09-20 0:02,2018,8,Summer,Su,P25,25,0,0.0364,0.013,0.0197,0.0008,0.0347,0.0291,0.2792,0.0494,0.413
2019-001,2019-02-13 0:43,2019,2,Winter,Wi,P25,25,0.0154,0.0386,0.0169,0.0152,0.017,0.0173,0.0283,0.2449,0.0555,0.3935
2019-006,2019-06-10 5:55,2019,6,Spring,Sp,P25,25,0.0025,0.1791,0.0523,0.007,0,0.0105,0.0305,0.3106,0.2315,0.5927
2019-008,2019-08-22 18:33,2019,8,Summer,Su,P25,25,0.0026,0.0441,0.0317,0.0021,0.4776,0.0236,0.0158,0.2741,0.0758,0.8716
2020-001,2020-02-16 9:26,2020,2,Winter,Wi,P25,25,0.0026,0.0237,0.0135,0.0103,0.0382,0.0169,0.0344,0.1392,0.0372,0.2788
2020-006,,2020,6,Spring,Sp,P25,25,,,,,,,,,,
2020-008,2020-08-20 2:39,2020,8,Summer,Su,P25,25,0.0047,0.1296,0.0054,0.0049,0.0025,0.0117,0.0045,0.0782,0.135,0.2415
2021-001,2021-02-09 2:42,2021,2,Winter,Wi,P25,25,0,0.0318,0.0441,0.0092,0.0773,0.0288,0.0577,0.2244,0.0759,0.4733
2021-006,2021-05-10 8:10,2021,6,Spring,Sp,P25,25,0.0134,0.0065,0.0075,0.0021,0.08,0.0002,0.0469,0.1386,0.014,0.2952
2021-008,2021-09-01 10:25,2021,8,Summer,Su,P25,25,0.0005,0.0504,0.0099,0.0083,0,0.0497,0.0485,0.206,0.0604,0.3734
2022-001,2022-03-10 10:17,2022,2,Winter,Wi,P25,25,0.006,0.015,0.031,0.013,0.015,0.026,0.048,0.243,0.0461,0.397
2022-006,,2022,6,Spring,Sp,P25,25,,,,,,,,,,
2022-008,2022-08-19 0:02,2022,8,Summer,Su,P25,25,0.0007,0.0462,0.0009,0.0044,0.0009,0.0651,0.0307,0.1868,0.0471,0.3358
2011-01,2011-02-16 8:05,2011,2,Winter,Wi,P26,26,0.0085,0.0332,0.0182,0.0044,0.0355,0.0316,0.0701,0.2118,0.0514,0.4133
